benchmark,family,result
mbo_E10E11,20161105-Sturm-MBO,unsat
mbo_E10E12,20161105-Sturm-MBO,unsat
mbo_E10E13,20161105-Sturm-MBO,unsat
mbo_E10E14,20161105-Sturm-MBO,timeout
mbo_E10E15,20161105-Sturm-MBO,unsat
mbo_E10E16,20161105-Sturm-MBO,timeout
mbo_E10E17,20161105-Sturm-MBO,timeout
mbo_E10E18,20161105-Sturm-MBO,timeout
mbo_E10E19,20161105-Sturm-MBO,timeout
mbo_E10E20,20161105-Sturm-MBO,unsat
mbo_E10E21,20161105-Sturm-MBO,unsat
mbo_E10E22,20161105-Sturm-MBO,timeout
mbo_E10E23,20161105-Sturm-MBO,timeout
mbo_E10E24,20161105-Sturm-MBO,timeout
mbo_E10E25,20161105-Sturm-MBO,timeout
mbo_E10E26,20161105-Sturm-MBO,timeout
mbo_E10E27,20161105-Sturm-MBO,timeout
mbo_E10E28,20161105-Sturm-MBO,timeout
mbo_E10,20161105-Sturm-MBO,unsat
mbo_E11E12,20161105-Sturm-MBO,unsat
mbo_E11E13,20161105-Sturm-MBO,unsat
mbo_E11E14,20161105-Sturm-MBO,timeout
mbo_E11E15,20161105-Sturm-MBO,unsat
mbo_E11E16,20161105-Sturm-MBO,unsat
mbo_E11E17,20161105-Sturm-MBO,unsat
mbo_E11E18,20161105-Sturm-MBO,timeout
mbo_E11E19,20161105-Sturm-MBO,unsat
mbo_E11E20,20161105-Sturm-MBO,unsat
mbo_E11E21,20161105-Sturm-MBO,unsat
mbo_E11E22,20161105-Sturm-MBO,unsat
mbo_E11E23,20161105-Sturm-MBO,unsat
mbo_E11E24,20161105-Sturm-MBO,unsat
mbo_E11E25,20161105-Sturm-MBO,unsat
mbo_E11E26,20161105-Sturm-MBO,unsat
mbo_E11E27,20161105-Sturm-MBO,unsat
mbo_E11E28,20161105-Sturm-MBO,unsat
mbo_E11,20161105-Sturm-MBO,unsat
mbo_E12E13,20161105-Sturm-MBO,unsat
mbo_E12E14,20161105-Sturm-MBO,timeout
mbo_E12E15,20161105-Sturm-MBO,unsat
mbo_E12E16,20161105-Sturm-MBO,timeout
mbo_E12E17,20161105-Sturm-MBO,timeout
mbo_E12E18,20161105-Sturm-MBO,unsat
mbo_E12E19,20161105-Sturm-MBO,unsat
mbo_E12E20,20161105-Sturm-MBO,timeout
mbo_E12E21,20161105-Sturm-MBO,timeout
mbo_E12E22,20161105-Sturm-MBO,unsat
mbo_E12E23,20161105-Sturm-MBO,unsat
mbo_E12E24,20161105-Sturm-MBO,unsat
mbo_E12E25,20161105-Sturm-MBO,unsat
mbo_E12E26,20161105-Sturm-MBO,unsat
mbo_E12E27,20161105-Sturm-MBO,unsat
mbo_E12E28,20161105-Sturm-MBO,unsat
mbo_E12,20161105-Sturm-MBO,unsat
mbo_E13E14,20161105-Sturm-MBO,timeout
mbo_E13E15,20161105-Sturm-MBO,unsat
mbo_E13E16,20161105-Sturm-MBO,unsat
mbo_E13E17,20161105-Sturm-MBO,timeout
mbo_E13E18,20161105-Sturm-MBO,unsat
mbo_E13E19,20161105-Sturm-MBO,unsat
mbo_E13E20,20161105-Sturm-MBO,unsat
mbo_E13E21,20161105-Sturm-MBO,timeout
mbo_E13E22,20161105-Sturm-MBO,unsat
mbo_E13E23,20161105-Sturm-MBO,unsat
mbo_E13E24,20161105-Sturm-MBO,unsat
mbo_E13E25,20161105-Sturm-MBO,unsat
mbo_E13E26,20161105-Sturm-MBO,unsat
mbo_E13E27,20161105-Sturm-MBO,unsat
mbo_E13E28,20161105-Sturm-MBO,unsat
mbo_E13,20161105-Sturm-MBO,unsat
mbo_E14E15,20161105-Sturm-MBO,timeout
mbo_E14E16,20161105-Sturm-MBO,timeout
mbo_E14E17,20161105-Sturm-MBO,timeout
mbo_E14E18,20161105-Sturm-MBO,timeout
mbo_E14E19,20161105-Sturm-MBO,timeout
mbo_E14E20,20161105-Sturm-MBO,timeout
mbo_E14E21,20161105-Sturm-MBO,timeout
mbo_E14E22,20161105-Sturm-MBO,timeout
mbo_E14E23,20161105-Sturm-MBO,timeout
mbo_E14E24,20161105-Sturm-MBO,timeout
mbo_E14E25,20161105-Sturm-MBO,timeout
mbo_E14E26,20161105-Sturm-MBO,timeout
mbo_E14E27,20161105-Sturm-MBO,timeout
mbo_E14E28,20161105-Sturm-MBO,timeout
mbo_E14,20161105-Sturm-MBO,timeout
mbo_E15E16,20161105-Sturm-MBO,unsat
mbo_E15E17,20161105-Sturm-MBO,timeout
mbo_E15E18,20161105-Sturm-MBO,unsat
mbo_E15E19,20161105-Sturm-MBO,unsat
mbo_E15E20,20161105-Sturm-MBO,unsat
mbo_E15E21,20161105-Sturm-MBO,timeout
mbo_E15E22,20161105-Sturm-MBO,timeout
mbo_E15E23,20161105-Sturm-MBO,timeout
mbo_E15E24,20161105-Sturm-MBO,unsat
mbo_E15E25,20161105-Sturm-MBO,unsat
mbo_E15E26,20161105-Sturm-MBO,unsat
mbo_E15E27,20161105-Sturm-MBO,unsat
mbo_E15E28,20161105-Sturm-MBO,unsat
mbo_E15,20161105-Sturm-MBO,unsat
mbo_E16E17,20161105-Sturm-MBO,unsat
mbo_E16E18,20161105-Sturm-MBO,timeout
mbo_E16E19,20161105-Sturm-MBO,timeout
mbo_E16E20,20161105-Sturm-MBO,timeout
mbo_E16E21,20161105-Sturm-MBO,unsat
mbo_E16E22,20161105-Sturm-MBO,timeout
mbo_E16E23,20161105-Sturm-MBO,unsat
mbo_E16E24,20161105-Sturm-MBO,timeout
mbo_E16E25,20161105-Sturm-MBO,unsat
mbo_E16E26,20161105-Sturm-MBO,unsat
mbo_E16E27,20161105-Sturm-MBO,unsat
mbo_E16E28,20161105-Sturm-MBO,unsat
mbo_E16,20161105-Sturm-MBO,unsat
mbo_E17E18,20161105-Sturm-MBO,unsat
mbo_E17E19,20161105-Sturm-MBO,timeout
mbo_E17E20,20161105-Sturm-MBO,timeout
mbo_E17E21,20161105-Sturm-MBO,timeout
mbo_E17E22,20161105-Sturm-MBO,unsat
mbo_E17E23,20161105-Sturm-MBO,unsat
mbo_E17E24,20161105-Sturm-MBO,timeout
mbo_E17E25,20161105-Sturm-MBO,timeout
mbo_E17E26,20161105-Sturm-MBO,unsat
mbo_E17E27,20161105-Sturm-MBO,unsat
mbo_E17E28,20161105-Sturm-MBO,unsat
mbo_E17,20161105-Sturm-MBO,unsat
mbo_E18E19,20161105-Sturm-MBO,unsat
mbo_E18E20,20161105-Sturm-MBO,timeout
mbo_E18E21,20161105-Sturm-MBO,timeout
mbo_E18E22,20161105-Sturm-MBO,unsat
mbo_E18E23,20161105-Sturm-MBO,unsat
mbo_E18E24,20161105-Sturm-MBO,unsat
mbo_E18E25,20161105-Sturm-MBO,timeout
mbo_E18E26,20161105-Sturm-MBO,timeout
mbo_E18E27,20161105-Sturm-MBO,unsat
mbo_E18E28,20161105-Sturm-MBO,unsat
mbo_E18,20161105-Sturm-MBO,unsat
mbo_E19E20,20161105-Sturm-MBO,unsat
mbo_E19E21,20161105-Sturm-MBO,unsat
mbo_E19E22,20161105-Sturm-MBO,unsat
mbo_E19E23,20161105-Sturm-MBO,unsat
mbo_E19E24,20161105-Sturm-MBO,unsat
mbo_E19E25,20161105-Sturm-MBO,unsat
mbo_E19E26,20161105-Sturm-MBO,unsat
mbo_E19E27,20161105-Sturm-MBO,unsat
mbo_E19E28,20161105-Sturm-MBO,unsat
mbo_E19,20161105-Sturm-MBO,unsat
mbo_E1E10,20161105-Sturm-MBO,timeout
mbo_E1E11,20161105-Sturm-MBO,unsat
mbo_E1E12,20161105-Sturm-MBO,unsat
mbo_E1E13,20161105-Sturm-MBO,unsat
mbo_E1E14,20161105-Sturm-MBO,timeout
mbo_E1E15,20161105-Sturm-MBO,unsat
mbo_E1E16,20161105-Sturm-MBO,timeout
mbo_E1E17,20161105-Sturm-MBO,timeout
mbo_E1E18,20161105-Sturm-MBO,timeout
mbo_E1E19,20161105-Sturm-MBO,unsat
mbo_E1E20,20161105-Sturm-MBO,unsat
mbo_E1E21,20161105-Sturm-MBO,timeout
mbo_E1E22,20161105-Sturm-MBO,unsat
