name, result, bool var, arith var, conflict, decision, stage, learned added
MADWiFi-encode_ie_ok.i_3_4_3.bpl_3, timeout, , , , , , 
afnp2014.c.i_3_5_3.bpl_5, timeout, , , , , , 
array1.i_3_2_2.bpl_9, timeout, , , , , , 
array_monotonic.i_3_2_2.bpl_9, timeout, , , , , , 
array_ptr_single_elem_init.i_4_2_2.bpl_5, timeout, , , , , , 
array_single_elem_init.i_4_2_2.bpl_5, timeout, , , , , , 
avg60.i_5_5_4.bpl_3, timeout, , , , , , 
cggmp2005_variant.c.i_3_3_2.bpl_5, timeout, , , , , , 
check_removal_from_set_after_insertion.i_8_6_6.bpl_3, timeout, , , , , , 
const1.i_3_6_2.bpl_5, timeout, , , , , , 
count_by_2.i_3_2_2.bpl_11, timeout, , , , , , 
count_by_k.i_3_3_2.bpl_5, timeout, , , , , , 
count_up_down.i_3_11_2.bpl_9, unsat, 1, 100, 611, 138, 1359, 604
ddlm2013.i_3_4_2.bpl_3, timeout, , , , , , 
ddlm2013.i_3_6_2.bpl_3, timeout, , , , , , 
down.i_4_5_5.bpl_3, sat, 1, 117, 378, 148, 875, 353
fragtest_simple.i_4_5_4.bpl_3, timeout, , , , , , 
functions1.i_3_5_2.bpl_9, timeout, , , , , , 
gj2007.c.i_4_3_3.bpl_5, timeout, , , , , , 
gr2006.c.i_4_4_3.bpl_5, timeout, , , , , , 
half_2.i_3_6_2.bpl_3, timeout, , , , , , 
hhk2008.c.i_3_3_2.bpl_5, timeout, , , , , , 
jain_4.i_2_3_3.bpl_3, unsat, 1, 127, 733, 254, 899, 729
jain_5.i_2_4_3.bpl_3, timeout, , , , , , 
linear_search.i_6_21_3.bpl_3, sat, 1, 321, 479, 227, 1608, 470
linear_search.i_6_24_3.bpl_3, sat, 1, 305, 563, 304, 1319, 562
linear_search.i_7_19_3.bpl_3, sat, 1, 321, 479, 227, 1608, 470
linear_search.i_7_23_3.bpl_3, sat, 1, 305, 310, 99, 1351, 309
nested.c_4_2_2.bpl_3, sat, 1, 54, 1335, 841, 1073, 1322
nested.i_4_5_3.bpl_3, timeout, , , , , , 
nested9.i_5_6_6.bpl_3, unknown, 1, 159, 810, 392, 1525, 802
overflow1.i_3_8_2.bpl_9, timeout, , , , , , 
relax.i_11_7_4.bpl_3, unsat, 1, 288, 26441, 10172, 30295, 25757
sanfoundry_10_ground.i_6_3_3.bpl_5, timeout, , , , , , 
seq.i_4_5_4.bpl_3, timeout, , , , , , 
seq.i_5_5_5.bpl_3, timeout, , , , , , 
simple1.i_3_6_2.bpl_9, timeout, , , , , , 
simple4.i_3_4_2.bpl_9, timeout, , , , , , 
sorting_bubblesort_ground.i_4_3_3.bpl_5, unsat, 1, 164, 1555, 374, 2170, 1545
standard_allDiff2_ground.i_4_4_3.bpl_3, timeout, , , , , , 
standard_compareModified_ground.i_4_2_2.bpl_5, timeout, , , , , , 
standard_copy1_ground.i_3_2_2.bpl_9, timeout, , , , , , 
standard_copy3_ground.i_3_2_2.bpl_5, unsat, 1, 105, 31086, 14436, 24123, 30679
standard_copy4_ground.i_3_2_2.bpl_3, unsat, 1, 80, 1618, 465, 2702, 1612
standard_copy4_ground.i_3_2_2.bpl_5, unsat, 1, 141, 39989, 19096, 31037, 39255
standard_copy5_ground.i_3_2_2.bpl_3, unsat, 1, 100, 2112, 638, 3753, 2102
standard_copy7_ground.i_3_2_2.bpl_3, unsat, 1, 140, 3704, 1322, 6545, 3684
standard_copyInitSum2_ground.i_3_2_2.bpl_5, unsat, 1, 105, 30958, 14376, 23925, 30584
standard_copyInitSum3_ground.i_3_2_2.bpl_3, unsat, 1, 80, 1618, 465, 2685, 1612
standard_copyInitSum3_ground.i_3_2_2.bpl_5, unsat, 1, 141, 39994, 19088, 31021, 39267
standard_copyInit_ground.i_3_2_2.bpl_9, timeout, , , , , , 
standard_init1_ground.i_3_2_2.bpl_9, timeout, , , , , , 
standard_init5_ground.i_3_2_2.bpl_3, unsat, 1, 100, 2052, 596, 3434, 2046
standard_init6_ground.i_3_2_2.bpl_3, unsat, 1, 120, 2647, 921, 5052, 2632
standard_init7_ground.i_3_2_2.bpl_3, unsat, 1, 140, 3298, 1153, 6226, 3282
standard_init9_ground.i_3_2_2.bpl_1, unsat, 1, 73, 309, 53, 823, 308
standard_init9_ground.i_3_2_2.bpl_3, unsat, 1, 180, 4360, 1540, 8477, 4337
standard_maxInArray_ground.i_3_2_2.bpl_5, timeout, , , , , , 
standard_partial_init_ground.i_3_2_2.bpl_5, timeout, , , , , , 
standard_password_ground.i_4_2_2.bpl_5, timeout, , , , , , 
standard_running.i_4_2_2.bpl_5, timeout, , , , , , 
standard_strcmp_ground.i_4_2_2.bpl_5, unsat, 1, 168, 3965, 1764, 4016, 3888
standard_strcpy_original.i_3_3_2.bpl_9, timeout, , , , , , 
standard_two_index_01.i_3_2_2.bpl_5, timeout, , , , , , 
standard_two_index_04.i_3_2_2.bpl_5, timeout, , , , , , 
standard_two_index_05.i_3_2_2.bpl_5, timeout, , , , , , 
standard_two_index_06.i_3_2_2.bpl_5, timeout, , , , , , 
sum60.i_5_6_5.bpl_3, timeout, , , , , , 
up.i_4_4_5.bpl_3, sat, 1, 119, 603, 228, 1309, 597
inst_1_100, sat, 1182, 293, 118, 337, 2546, 118
inst_1_1000, sat, 1182, 293, 193, 363, 3410, 193
inst_1_10000, sat, 1182, 293, 212, 454, 2990, 212
inst_1_100000, sat, 1182, 293, 187, 422, 3518, 187
inst_1_1000000, sat, 1182, 293, 158, 340, 2742, 158
inst-ijcai-lin1.ez, sat, 43, 8, 6, 8, 12, 6
inst-ijcai-lin2.ez, sat, 85, 13, 69, 141, 95, 68
inst-ijcai-lin3.ez, sat, 127, 18, 272, 639, 413, 257
inst-ijcai-lin4.ez, sat, 169, 23, 644, 1292, 865, 608
inst-ijcai-lin5.ez, sat, 211, 28, 923, 1737, 1427, 873
inst-ijcai-lin6.ez, sat, 253, 33, 1332, 3490, 1956, 1253
inst-ijcai-lin7.ez, sat, 295, 38, 1761, 3299, 2596, 1655
inst-ijcai-lin8.ez, sat, 337, 43, 2619, 6104, 4053, 2500
01-reverse_folding-0-0, sat, 432, 64, 38, 32, 337, 38
02-reverse_folding-0-0, sat, 4132, 384, 596, 198, 21557, 596
03-reverse_folding-0-0, timeout, , , , , , 
04-reverse_folding-0-0, timeout, , , , , , 
05-reverse_folding-0-0, sat, , , , , , 
06-reverse_folding-0-0, unsat, 359, 32, 4, 2, 5, 3
07-reverse_folding-0-0, unsat, 1568, 150, 42, 42, 217, 39
08-reverse_folding-0-0, sat, 3735, 288, 225, 16, 7736, 225
09-reverse_folding-0-0, sat, 3746, 196, 7, 8, 318, 7
10-reverse_folding-0-0, sat, 6322, 256, 13, 8, 435, 13
11-reverse_folding-0-0, sat, 1429, 160, 277, 7825, 5668, 268
12-reverse_folding-0-0, sat, 865, 80, 19, 7, 181, 19
13-reverse_folding-0-0, sat, 1516, 160, 140, 14, 3163, 140
14-reverse_folding-0-0, sat, 1472, 160, 77, 16, 2215, 77
15-reverse_folding-0-0, sat, 1288, 160, 77, 14, 2405, 77
16-reverse_folding-0-0, sat, 2439, 240, 726, 13416, 14817, 713
17-reverse_folding-0-0, sat, 4063, 400, 745, 124, 23178, 745
18-reverse_folding-0-0, sat, 1573, 160, 356, 5533, 5494, 348
19-reverse_folding-0-0, sat, 1346, 160, 324, 4533, 5030, 316
20-reverse_folding-0-0, sat, 4203, 400, 996, 5257, 39089, 972
21-reverse_folding-0-0, sat, 7103, 600, 1353, 106, 65989, 1351
22-reverse_folding-0-0, timeout, , , , , , 
23-reverse_folding-0-0, sat, 2981, 240, 160, 14, 4627, 160
24-reverse_folding-0-0, timeout, , , , , , 
25-reverse_folding-0-0, timeout, , , , , , 
26-reverse_folding-0-0, sat, 5821, 480, 861, 55, 40532, 859
27-reverse_folding-0-0, timeout, , , , , , 
28-reverse_folding-0-0, sat, 5621, 480, 688, 76, 30287, 668
29-reverse_folding-0-0, timeout, , , , , , 
30-reverse_folding-0-0, timeout, , , , , , 
31-reverse_folding-0-0, timeout, , , , , , 
32-reverse_folding-0-0, sat, 7835, 640, 973, 47, 63635, 973
33-reverse_folding-0-0, sat, 7138, 560, 625, 35, 47803, 625
34-reverse_folding-0-0, timeout, , , , , , 
35-reverse_folding-0-0, timeout, , , , , , 
36-reverse_folding-0-0, timeout, , , , , , 
37-reverse_folding-0-0, timeout, , , , , , 
38-reverse_folding-0-0, timeout, , , , , , 
39-reverse_folding-0-0, timeout, , , , , , 
40-reverse_folding-0-0, timeout, , , , , , 
41-reverse_folding-0-0, timeout, , , , , , 
42-reverse_folding-0-0, timeout, , , , , , 
43-reverse_folding-0-0, timeout, , , , , , 
44-reverse_folding-0-0, timeout, , , , , , 
45-reverse_folding-0-0, timeout, , , , , , 
46-reverse_folding-0-0, timeout, , , , , , 
47-reverse_folding-0-0, sat, 2751, 280, 2123, 30716, 33602, 2081
48-reverse_folding-0-0, sat, 2399, 240, 225, 25, 6424, 225
49-reverse_folding-0-0, sat, 2377, 280, 473, 78, 9357, 468
50-reverse_folding-0-0, sat, 4237, 384, 1238, 15815, 39537, 1161
EulerInequality_IsoTriangle-CircumRadius_InRadius, sat, 1, 6, 33, 18, 27, 33
IsoRightTriangle-Bottema11_20b, sat, 1, 4, 2, 1, 6, 2
IsoRightTriangle-Bottema1_12a, sat, 1, 4, 4, 1, 8, 4
IsoRightTriangle-Bottema1_12b, sat, 1, 4, 8, 5, 11, 8
IsoRightTriangle-Bottema1_14a, sat, 1, 4, 7, 3, 9, 7
IsoRightTriangle-Bottema1_14b, sat, 1, 4, 17, 7, 15, 17
IsoRightTriangle-Bottema1_15a, sat, 1, 4, 4, 2, 8, 4
IsoRightTriangle-Bottema1_15b, sat, 1, 4, 7, 4, 9, 7
IsoRightTriangle-Bottema1_17a, sat, 1, 4, 9, 4, 11, 9
IsoRightTriangle-Bottema1_17b, sat, 1, 4, 40, 14, 34, 40
IsoRightTriangle-Bottema1_19a, sat, 1, 4, 4, 2, 8, 4
