name, result, bool var, arith var, conflict, decision, stage, learned added
MADWiFi-encode_ie_ok.i_3_4_3.bpl_3, timeout, , , , , , 
afnp2014.c.i_3_5_3.bpl_5, sat, 1, 108, 10486, 6538, 7263, 10251
array1.i_3_2_2.bpl_9, timeout, , , , , , 
array_monotonic.i_3_2_2.bpl_9, timeout, , , , , , 
array_ptr_single_elem_init.i_4_2_2.bpl_5, timeout, , , , , , 
array_single_elem_init.i_4_2_2.bpl_5, timeout, , , , , , 
avg60.i_5_5_4.bpl_3, timeout, , , , , , 
cggmp2005_variant.c.i_3_3_2.bpl_5, timeout, , , , , , 
check_removal_from_set_after_insertion.i_8_6_6.bpl_3, timeout, , , , , , 
const1.i_3_6_2.bpl_5, timeout, , , , , , 
count_by_2.i_3_2_2.bpl_11, timeout, , , , , , 
count_by_k.i_3_3_2.bpl_5, timeout, , , , , , 
count_up_down.i_3_11_2.bpl_9, unsat, 1, 100, 625, 191, 1801, 623
ddlm2013.i_3_4_2.bpl_3, timeout, , , , , , 
ddlm2013.i_3_6_2.bpl_3, timeout, , , , , , 
down.i_4_5_5.bpl_3, sat, 1, 117, 1205, 642, 2289, 1155
fragtest_simple.i_4_5_4.bpl_3, sat, 1, 153, 4410, 2680, 5979, 4329
functions1.i_3_5_2.bpl_9, timeout, , , , , , 
gj2007.c.i_4_3_3.bpl_5, timeout, , , , , , 
gr2006.c.i_4_4_3.bpl_5, timeout, , , , , , 
half_2.i_3_6_2.bpl_3, timeout, , , , , , 
hhk2008.c.i_3_3_2.bpl_5, timeout, , , , , , 
jain_4.i_2_3_3.bpl_3, unsat, 1, 127, 415, 155, 680, 409
jain_5.i_2_4_3.bpl_3, timeout, , , , , , 
linear_search.i_6_21_3.bpl_3, timeout, , , , , , 
linear_search.i_6_24_3.bpl_3, timeout, , , , , , 
linear_search.i_7_19_3.bpl_3, timeout, , , , , , 
linear_search.i_7_23_3.bpl_3, timeout, , , , , , 
nested.c_4_2_2.bpl_3, sat, 1, 54, 181, 94, 340, 180
nested.i_4_5_3.bpl_3, timeout, , , , , , 
nested9.i_5_6_6.bpl_3, timeout, , , , , , 
overflow1.i_3_8_2.bpl_9, timeout, , , , , , 
relax.i_11_7_4.bpl_3, timeout, , , , , , 
sanfoundry_10_ground.i_6_3_3.bpl_5, timeout, , , , , , 
seq.i_4_5_4.bpl_3, timeout, , , , , , 
seq.i_5_5_5.bpl_3, timeout, , , , , , 
simple1.i_3_6_2.bpl_9, timeout, , , , , , 
simple4.i_3_4_2.bpl_9, timeout, , , , , , 
sorting_bubblesort_ground.i_4_3_3.bpl_5, unsat, 1, 164, 1772, 531, 2630, 1752
standard_allDiff2_ground.i_4_4_3.bpl_3, timeout, , , , , , 
standard_compareModified_ground.i_4_2_2.bpl_5, timeout, , , , , , 
standard_copy1_ground.i_3_2_2.bpl_9, timeout, , , , , , 
standard_copy3_ground.i_3_2_2.bpl_5, unsat, 1, 105, 15902, 7385, 15038, 15660
standard_copy4_ground.i_3_2_2.bpl_3, unsat, 1, 80, 2169, 857, 3201, 2143
standard_copy4_ground.i_3_2_2.bpl_5, unsat, 1, 141, 14479, 6268, 16363, 14168
standard_copy5_ground.i_3_2_2.bpl_3, unsat, 1, 100, 1781, 507, 3535, 1767
standard_copy7_ground.i_3_2_2.bpl_3, unsat, 1, 140, 3208, 1153, 6014, 3181
standard_copyInitSum2_ground.i_3_2_2.bpl_5, unsat, 1, 105, 15902, 7385, 15041, 15660
standard_copyInitSum3_ground.i_3_2_2.bpl_3, unsat, 1, 80, 1663, 549, 2617, 1659
standard_copyInitSum3_ground.i_3_2_2.bpl_5, unsat, 1, 141, 14479, 6268, 16358, 14168
standard_copyInit_ground.i_3_2_2.bpl_9, timeout, , , , , , 
standard_init1_ground.i_3_2_2.bpl_9, timeout, , , , , , 
standard_init5_ground.i_3_2_2.bpl_3, unsat, 1, 100, 2683, 942, 4231, 2637
standard_init6_ground.i_3_2_2.bpl_3, unsat, 1, 120, 4264, 1740, 6649, 4227
standard_init7_ground.i_3_2_2.bpl_3, unsat, 1, 140, 2866, 1140, 6842, 2841
standard_init9_ground.i_3_2_2.bpl_1, unsat, 1, 73, 265, 26, 807, 264
standard_init9_ground.i_3_2_2.bpl_3, unsat, 1, 180, 4879, 2238, 9408, 4804
standard_maxInArray_ground.i_3_2_2.bpl_5, timeout, , , , , , 
standard_partial_init_ground.i_3_2_2.bpl_5, timeout, , , , , , 
standard_password_ground.i_4_2_2.bpl_5, timeout, , , , , , 
standard_running.i_4_2_2.bpl_5, timeout, , , , , , 
standard_strcmp_ground.i_4_2_2.bpl_5, unsat, 1, 168, 29146, 16719, 19694, 28322
standard_strcpy_original.i_3_3_2.bpl_9, timeout, , , , , , 
standard_two_index_01.i_3_2_2.bpl_5, timeout, , , , , , 
standard_two_index_04.i_3_2_2.bpl_5, timeout, , , , , , 
standard_two_index_05.i_3_2_2.bpl_5, timeout, , , , , , 
standard_two_index_06.i_3_2_2.bpl_5, timeout, , , , , , 
sum60.i_5_6_5.bpl_3, timeout, , , , , , 
up.i_4_4_5.bpl_3, timeout, , , , , , 
inst_1_100, sat, 1182, 293, 424, 5747, 8677, 382
inst_1_1000, sat, 1182, 293, 4851, 44294, 83474, 4466
inst_1_10000, sat, 1182, 293, 1700, 22229, 30468, 1529
inst_1_100000, sat, 1182, 293, 1753, 26675, 32104, 1572
inst_1_1000000, sat, 1182, 293, 7412, 71564, 116771, 6883
inst-ijcai-lin1.ez, sat, 43, 8, 6, 8, 12, 6
inst-ijcai-lin2.ez, sat, 85, 13, 69, 141, 95, 68
inst-ijcai-lin3.ez, sat, 127, 18, 342, 690, 513, 330
inst-ijcai-lin4.ez, sat, 169, 23, 601, 1398, 818, 581
inst-ijcai-lin5.ez, sat, 211, 28, 718, 1606, 1288, 690
inst-ijcai-lin6.ez, sat, 253, 33, 1164, 3187, 2027, 1133
inst-ijcai-lin7.ez, sat, 295, 38, 1213, 3373, 2552, 1158
inst-ijcai-lin8.ez, sat, 337, 43, 2885, 5889, 4752, 2567
01-reverse_folding-0-0, sat, 432, 64, 38, 32, 337, 38
02-reverse_folding-0-0, timeout, , , , , , 
03-reverse_folding-0-0, timeout, , , , , , 
04-reverse_folding-0-0, timeout, , , , , , 
05-reverse_folding-0-0, sat, , , , , , 
06-reverse_folding-0-0, unsat, 359, 32, 4, 2, 5, 3
07-reverse_folding-0-0, unsat, 1568, 150, 42, 42, 217, 39
08-reverse_folding-0-0, sat, 3735, 288, 2082, 118984, 54646, 2040
09-reverse_folding-0-0, sat, 3746, 196, 7, 8, 318, 7
10-reverse_folding-0-0, sat, 6322, 256, 13, 8, 435, 13
