name, total, bool var, arith var, sat, unsat, solved, unsolved
20200911-Pine, 240, 151, 606, 151, 0, 151, 89
meti-tarski, 4399, 4349, 13726, 4349, 0, 4349, 50
hycomp, 514, 15588, 6616, 158, 0, 158, 356
UltimateAutomizer, 49, 14, 3418, 14, 0, 14, 35
20161105-Sturm-MGC, 2, 0, 0, 0, 0, 0, 2
20180501-Economics-Mulligan, 95, 88, 1483, 88, 0, 88, 7
2019-ezsmt, 61, 20306, 2170, 13, 0, 13, 48
kissing, 45, 22, 310, 22, 0, 22, 23
20170501-Heizmann-UltimateInvariantSynthesis, 68, 0, 0, 0, 0, 0, 68
hong, 12, 0, 0, 0, 0, 0, 12
LassoRanker, 676, 256, 1750907, 256, 0, 256, 420
zankl, 138, 93, 5827, 93, 0, 93, 45
20161105-Sturm-MBO, 297, 83, 576, 83, 0, 83, 214
20211101-Geogebra, 112, 100, 628, 100, 0, 100, 12
20220314-Uncu, 70, 118, 245, 70, 0, 70, 0
