name, result, bool var, arith var, conflict, decision, stage, learned added
MADWiFi-encode_ie_ok.i_3_4_3.bpl_3, timeout, , , , , , 
afnp2014.c.i_3_5_3.bpl_5, timeout, , , , , , 
array1.i_3_2_2.bpl_9, timeout, , , , , , 
array_monotonic.i_3_2_2.bpl_9, timeout, , , , , , 
array_ptr_single_elem_init.i_4_2_2.bpl_5, timeout, , , , , , 
array_single_elem_init.i_4_2_2.bpl_5, timeout, , , , , , 
avg60.i_5_5_4.bpl_3, timeout, , , , , , 
cggmp2005_variant.c.i_3_3_2.bpl_5, timeout, , , , , , 
check_removal_from_set_after_insertion.i_8_6_6.bpl_3, timeout, , , , , , 
const1.i_3_6_2.bpl_5, timeout, , , , , , 
count_by_2.i_3_2_2.bpl_11, timeout, , , , , , 
count_by_k.i_3_3_2.bpl_5, timeout, , , , , , 
count_up_down.i_3_11_2.bpl_9, unsat, , , 131393, 75449, 71201, 
ddlm2013.i_3_4_2.bpl_3, timeout, , , , , , 
ddlm2013.i_3_6_2.bpl_3, timeout, , , , , , 
down.i_4_5_5.bpl_3, timeout, , , , , , 
fragtest_simple.i_4_5_4.bpl_3, timeout, , , , , , 
functions1.i_3_5_2.bpl_9, timeout, , , , , , 
gj2007.c.i_4_3_3.bpl_5, timeout, , , , , , 
gr2006.c.i_4_4_3.bpl_5, timeout, , , , , , 
half_2.i_3_6_2.bpl_3, timeout, , , , , , 
hhk2008.c.i_3_3_2.bpl_5, timeout, , , , , , 
jain_4.i_2_3_3.bpl_3, timeout, , , , , , 
jain_5.i_2_4_3.bpl_3, timeout, , , , , , 
linear_search.i_6_21_3.bpl_3, timeout, , , , , , 
linear_search.i_6_24_3.bpl_3, timeout, , , , , , 
linear_search.i_7_19_3.bpl_3, timeout, , , , , , 
linear_search.i_7_23_3.bpl_3, timeout, , , , , , 
nested.c_4_2_2.bpl_3, timeout, , , , , , 
nested.i_4_5_3.bpl_3, timeout, , , , , , 
nested9.i_5_6_6.bpl_3, unknown, , , 16418, 14339, 24157, 
overflow1.i_3_8_2.bpl_9, timeout, , , , , , 
relax.i_11_7_4.bpl_3, timeout, , , , , , 
sanfoundry_10_ground.i_6_3_3.bpl_5, timeout, , , , , , 
seq.i_4_5_4.bpl_3, timeout, , , , , , 
seq.i_5_5_5.bpl_3, timeout, , , , , , 
simple1.i_3_6_2.bpl_9, timeout, , , , , , 
simple4.i_3_4_2.bpl_9, unsat, , , 36917, 30937, 35063, 
sorting_bubblesort_ground.i_4_3_3.bpl_5, timeout, , , , , , 
standard_allDiff2_ground.i_4_4_3.bpl_3, timeout, , , , , , 
standard_compareModified_ground.i_4_2_2.bpl_5, timeout, , , , , , 
standard_copy1_ground.i_3_2_2.bpl_9, unsat, , , 50509, 45655, 23820, 
standard_copy3_ground.i_3_2_2.bpl_5, unsat, , , 289677, 171040, 179174, 
standard_copy4_ground.i_3_2_2.bpl_3, unsat, , , 31188, 13034, 26028, 
standard_copy4_ground.i_3_2_2.bpl_5, timeout, , , , , , 
standard_copy5_ground.i_3_2_2.bpl_3, unsat, , , 260332, 105812, 169704, 
standard_copy7_ground.i_3_2_2.bpl_3, timeout, , , , , , 
standard_copyInitSum2_ground.i_3_2_2.bpl_5, unsat, , , 289818, 171285, 175351, 
standard_copyInitSum3_ground.i_3_2_2.bpl_3, unsat, , , 31188, 13034, 26040, 
standard_copyInitSum3_ground.i_3_2_2.bpl_5, timeout, , , , , , 
standard_copyInit_ground.i_3_2_2.bpl_9, timeout, , , , , , 
standard_init1_ground.i_3_2_2.bpl_9, unsat, , , 50509, 45655, 23820, 
standard_init5_ground.i_3_2_2.bpl_3, unsat, , , 255818, 102907, 168901, 
standard_init6_ground.i_3_2_2.bpl_3, timeout, , , , , , 
standard_init7_ground.i_3_2_2.bpl_3, timeout, , , , , , 
standard_init9_ground.i_3_2_2.bpl_1, unsat, , , 34662, 9887, 47388, 
standard_init9_ground.i_3_2_2.bpl_3, timeout, , , , , , 
standard_maxInArray_ground.i_3_2_2.bpl_5, timeout, , , , , , 
standard_partial_init_ground.i_3_2_2.bpl_5, timeout, , , , , , 
standard_password_ground.i_4_2_2.bpl_5, timeout, , , , , , 
standard_running.i_4_2_2.bpl_5, timeout, , , , , , 
standard_strcmp_ground.i_4_2_2.bpl_5, timeout, , , , , , 
standard_strcpy_original.i_3_3_2.bpl_9, timeout, , , , , , 
standard_two_index_01.i_3_2_2.bpl_5, timeout, , , , , , 
standard_two_index_04.i_3_2_2.bpl_5, timeout, , , , , , 
standard_two_index_05.i_3_2_2.bpl_5, timeout, , , , , , 
standard_two_index_06.i_3_2_2.bpl_5, timeout, , , , , , 
sum60.i_5_6_5.bpl_3, timeout, , , , , , 
up.i_4_4_5.bpl_3, timeout, , , , , , 
inst_1_100, sat, , , 8, 296, 758, 
inst_1_1000, sat, , , 3, 296, 677, 
inst_1_10000, sat, , , 8, 296, 802, 
inst_1_100000, sat, , , 8, 296, 735, 
inst_1_1000000, sat, , , 8, 296, 779, 
inst-ijcai-lin1.ez, sat, , , 5, 8, 15, 
inst-ijcai-lin2.ez, sat, , , 54, 71, 71, 
inst-ijcai-lin3.ez, sat, , , 160, 275, 179, 
inst-ijcai-lin4.ez, sat, , , 421, 931, 377, 
inst-ijcai-lin5.ez, sat, , , 1130, 2927, 715, 
inst-ijcai-lin6.ez, sat, , , 2957, 8801, 1356, 
inst-ijcai-lin7.ez, sat, , , 10516, 37070, 3133, 
inst-ijcai-lin8.ez, sat, , , 30852, 122200, 6150, 
01-reverse_folding-0-0, sat, , , 39, 31, 123, 
02-reverse_folding-0-0, sat, , , 862, 205, 11689, 
03-reverse_folding-0-0, sat, , , 36972, 12132, 565652, 
04-reverse_folding-0-0, timeout, , , , , , 
05-reverse_folding-0-0, sat, , , , , , 
06-reverse_folding-0-0, unsat, , , 4, 3, 1, 
07-reverse_folding-0-0, unsat, , , 19, 21, 11, 
08-reverse_folding-0-0, sat, , , 38, 15, 532, 
09-reverse_folding-0-0, sat, , , 3, 5, 197, 
10-reverse_folding-0-0, sat, , , 3, 5, 257, 
11-reverse_folding-0-0, sat, , , 53, 26, 281, 
12-reverse_folding-0-0, sat, , , 3, 5, 81, 
13-reverse_folding-0-0, sat, , , 20, 15, 191, 
14-reverse_folding-0-0, sat, , , 15, 15, 189, 
15-reverse_folding-0-0, sat, , , 21, 15, 222, 
16-reverse_folding-0-0, sat, , , 104, 50, 793, 
17-reverse_folding-0-0, sat, , , 274, 83, 2638, 
18-reverse_folding-0-0, sat, , , 53, 21, 314, 
19-reverse_folding-0-0, sat, , , 105, 24, 429, 
20-reverse_folding-0-0, sat, , , 440, 107, 4123, 
21-reverse_folding-0-0, sat, , , 237, 67, 3434, 
22-reverse_folding-0-0, sat, , , 942, 251, 6717, 
23-reverse_folding-0-0, sat, , , 36, 14, 714, 
24-reverse_folding-0-0, sat, , , 1165, 254, 9552, 
25-reverse_folding-0-0, sat, , , 684, 179, 7101, 
26-reverse_folding-0-0, sat, , , 135, 48, 1655, 
27-reverse_folding-0-0, sat, , , 1699, 556, 12900, 
28-reverse_folding-0-0, sat, , , 148, 50, 1786, 
29-reverse_folding-0-0, sat, , , 313, 99, 3500, 
30-reverse_folding-0-0, sat, , , 311, 105, 3225, 
31-reverse_folding-0-0, sat, , , 5620, 2377, 81137, 
32-reverse_folding-0-0, sat, , , 238, 46, 3384, 
33-reverse_folding-0-0, sat, , , 242, 36, 2981, 
34-reverse_folding-0-0, sat, , , 520, 122, 8019, 
35-reverse_folding-0-0, sat, , , 562, 135, 8656, 
36-reverse_folding-0-0, sat, , , 5790, 2786, 58941, 
37-reverse_folding-0-0, sat, , , 2283, 880, 18420, 
38-reverse_folding-0-0, sat, , , 7035, 3799, 84624, 
39-reverse_folding-0-0, sat, , , 507, 136, 7781, 
40-reverse_folding-0-0, sat, , , 958, 210, 16445, 
41-reverse_folding-0-0, sat, , , 13927, 6445, 157215, 
42-reverse_folding-0-0, sat, , , 532, 122, 8254, 
43-reverse_folding-0-0, sat, , , 2421, 847, 21482, 
44-reverse_folding-0-0, sat, , , 857, 221, 14135, 
45-reverse_folding-0-0, sat, , , 6031, 2926, 51049, 
46-reverse_folding-0-0, sat, , , 3370, 1028, 40346, 
47-reverse_folding-0-0, sat, , , 179, 70, 995, 
48-reverse_folding-0-0, sat, , , 84, 27, 598, 
49-reverse_folding-0-0, sat, , , 221, 43, 1224, 
50-reverse_folding-0-0, sat, , , 179, 127, 1436, 
EulerInequality_IsoTriangle-CircumRadius_InRadius, sat, , , 3, 2, 11, 
IsoRightTriangle-Bottema11_20b, sat, , , , 1, 5, 
IsoRightTriangle-Bottema1_12a, sat, , , , 1, 5, 
IsoRightTriangle-Bottema1_12b, sat, , , , 1, 5, 
IsoRightTriangle-Bottema1_14a, sat, , , , 1, 5, 
IsoRightTriangle-Bottema1_14b, sat, , , , 1, 5, 
IsoRightTriangle-Bottema1_15a, sat, , , , 1, 5, 
IsoRightTriangle-Bottema1_15b, sat, , , , 1, 5, 
IsoRightTriangle-Bottema1_17a, sat, , , , 1, 5, 
IsoRightTriangle-Bottema1_17b, sat, , , , 1, 5, 
IsoRightTriangle-Bottema1_19a, sat, , , , 1, 5, 
IsoRightTriangle-Bottema1_19b, sat, , , , 1, 4, 
IsoRightTriangle-Bottema1_1a, sat, , , , 1, 4, 
IsoRightTriangle-Bottema1_1b, sat, , , , 1, 4, 
IsoRightTriangle-Bottema1_23a, sat, , , , 1, 5, 
IsoRightTriangle-Bottema1_23b, sat, , , , 1, 5, 
IsoRightTriangle-Bottema1_2a, sat, , , , 1, 5, 
IsoRightTriangle-Bottema1_2b, sat, , , , 1, 5, 
IsoRightTriangle-Bottema1_3a, sat, , , , 1, 5, 
IsoRightTriangle-Bottema1_3b, sat, , , , 1, 5, 
IsoRightTriangle-Bottema1_4a, sat, , , , 1, 5, 
IsoRightTriangle-Bottema1_4b, sat, , , , 1, 5, 
IsoRightTriangle-Bottema1_5a, sat, , , , 1, 5, 
IsoRightTriangle-Bottema1_5b, sat, , , , 1, 5, 
IsoRightTriangle-Bottema1_6a, sat, , , , 1, 5, 
