name, result, bool var, arith var, conflict, decision, stage, step
MADWiFi-encode_ie_ok.i_3_4_3.bpl_3, timeout, , , , , , 
afnp2014.c.i_3_5_3.bpl_5, timeout, , , , , , 
array1.i_3_2_2.bpl_9, timeout, , , , , , 
array_monotonic.i_3_2_2.bpl_9, timeout, , , , , , 
array_ptr_single_elem_init.i_4_2_2.bpl_5, timeout, , , , , , 
array_single_elem_init.i_4_2_2.bpl_5, timeout, , , , , , 
avg60.i_5_5_4.bpl_3, timeout, , , , , , 
cggmp2005_variant.c.i_3_3_2.bpl_5, timeout, , , , , , 
check_removal_from_set_after_insertion.i_8_6_6.bpl_3, timeout, , , , , , 
const1.i_3_6_2.bpl_5, timeout, , , , , , 
count_by_2.i_3_2_2.bpl_11, timeout, , , , , , 
count_by_k.i_3_3_2.bpl_5, timeout, , , , , , 
count_up_down.i_3_11_2.bpl_9, timeout, , , , , , 
ddlm2013.i_3_4_2.bpl_3, timeout, , , , , , 
ddlm2013.i_3_6_2.bpl_3, timeout, , , , , , 
down.i_4_5_5.bpl_3, timeout, , , , , , 
fragtest_simple.i_4_5_4.bpl_3, timeout, , , , , , 
functions1.i_3_5_2.bpl_9, timeout, , , , , , 
gj2007.c.i_4_3_3.bpl_5, timeout, , , , , , 
gr2006.c.i_4_4_3.bpl_5, timeout, , , , , , 
half_2.i_3_6_2.bpl_3, timeout, , , , , , 
hhk2008.c.i_3_3_2.bpl_5, timeout, , , , , , 
jain_4.i_2_3_3.bpl_3, timeout, , , , , , 
jain_5.i_2_4_3.bpl_3, timeout, , , , , , 
linear_search.i_6_21_3.bpl_3, timeout, , , , , , 
linear_search.i_6_24_3.bpl_3, timeout, , , , , , 
linear_search.i_7_19_3.bpl_3, timeout, , , , , , 
linear_search.i_7_23_3.bpl_3, timeout, , , , , , 
nested.c_4_2_2.bpl_3, timeout, , , , , , 
nested.i_4_5_3.bpl_3, timeout, , , , , , 
nested9.i_5_6_6.bpl_3, timeout, , , , , , 
overflow1.i_3_8_2.bpl_9, timeout, , , , , , 
relax.i_11_7_4.bpl_3, timeout, , , , , , 
sanfoundry_10_ground.i_6_3_3.bpl_5, timeout, , , , , , 
seq.i_4_5_4.bpl_3, timeout, , , , , , 
seq.i_5_5_5.bpl_3, timeout, , , , , , 
simple1.i_3_6_2.bpl_9, timeout, , , , , , 
simple4.i_3_4_2.bpl_9, timeout, , , , , , 
sorting_bubblesort_ground.i_4_3_3.bpl_5, timeout, , , , , , 
standard_allDiff2_ground.i_4_4_3.bpl_3, timeout, , , , , , 
standard_compareModified_ground.i_4_2_2.bpl_5, timeout, , , , , , 
standard_copy1_ground.i_3_2_2.bpl_9, timeout, , , , , , 
standard_copy3_ground.i_3_2_2.bpl_5, timeout, , , , , , 
standard_copy4_ground.i_3_2_2.bpl_3, timeout, , , , , , 
standard_copy4_ground.i_3_2_2.bpl_5, timeout, , , , , , 
standard_copy5_ground.i_3_2_2.bpl_3, timeout, , , , , , 
standard_copy7_ground.i_3_2_2.bpl_3, timeout, , , , , , 
standard_copyInitSum2_ground.i_3_2_2.bpl_5, timeout, , , , , , 
standard_copyInitSum3_ground.i_3_2_2.bpl_3, timeout, , , , , , 
standard_copyInitSum3_ground.i_3_2_2.bpl_5, timeout, , , , , , 
standard_copyInit_ground.i_3_2_2.bpl_9, timeout, , , , , , 
standard_init1_ground.i_3_2_2.bpl_9, timeout, , , , , , 
standard_init5_ground.i_3_2_2.bpl_3, timeout, , , , , , 
standard_init6_ground.i_3_2_2.bpl_3, timeout, , , , , , 
standard_init7_ground.i_3_2_2.bpl_3, timeout, , , , , , 
standard_init9_ground.i_3_2_2.bpl_3, timeout, , , , , , 
standard_maxInArray_ground.i_3_2_2.bpl_5, timeout, , , , , , 
standard_partial_init_ground.i_3_2_2.bpl_5, timeout, , , , , , 
standard_password_ground.i_4_2_2.bpl_5, timeout, , , , , , 
standard_running.i_4_2_2.bpl_5, timeout, , , , , , 
standard_strcmp_ground.i_4_2_2.bpl_5, timeout, , , , , , 
standard_strcpy_original.i_3_3_2.bpl_9, timeout, , , , , , 
standard_two_index_01.i_3_2_2.bpl_5, timeout, , , , , , 
standard_two_index_04.i_3_2_2.bpl_5, timeout, , , , , , 
standard_two_index_05.i_3_2_2.bpl_5, timeout, , , , , , 
standard_two_index_06.i_3_2_2.bpl_5, timeout, , , , , , 
sum60.i_5_6_5.bpl_3, timeout, , , , , , 
up.i_4_4_5.bpl_3, timeout, , , , , , 
inst_1_100, sat, 1690, 299, , , , 9989
inst_1_1000, sat, 1690, 299, , , , 3495
inst_1_10000, sat, 1690, 299, , , , 18295
inst_1_100000, sat, 1690, 299, , , , 3187
inst_1_1000000, sat, 1690, 299, , , , 19404
inst-ijcai-lin1.ez, sat, 262, 40, , , , 3993
inst-ijcai-lin2.ez, sat, 328, 46, , , , 8329
inst-ijcai-lin3.ez, sat, 394, 52, , , , 106923
inst-ijcai-lin4.ez, sat, 460, 58, , , , 74631
inst-ijcai-lin5.ez, sat, 526, 64, , , , 139673
inst-ijcai-lin6.ez, sat, 592, 70, , , , 696781
inst-ijcai-lin7.ez, sat, 658, 76, , , , 132224
inst-ijcai-lin8.ez, sat, 724, 82, , , , 133279
01-reverse_folding-0-0, sat, 810, 112, , , , 5503
02-reverse_folding-0-0, timeout, , , , , , 
03-reverse_folding-0-0, timeout, , , , , , 
04-reverse_folding-0-0, timeout, , , , , , 
05-reverse_folding-0-0, sat, 477, 90, , , , 17
08-reverse_folding-0-0, timeout, , , , , , 
09-reverse_folding-0-0, timeout, , , , , , 
10-reverse_folding-0-0, timeout, , , , , , 
11-reverse_folding-0-0, timeout, , , , , , 
12-reverse_folding-0-0, sat, 4317, 440, , , , 15378
13-reverse_folding-0-0, timeout, , , , , , 
14-reverse_folding-0-0, timeout, , , , , , 
15-reverse_folding-0-0, timeout, , , , , , 
16-reverse_folding-0-0, timeout, , , , , , 
17-reverse_folding-0-0, timeout, , , , , , 
18-reverse_folding-0-0, timeout, , , , , , 
19-reverse_folding-0-0, timeout, , , , , , 
20-reverse_folding-0-0, timeout, , , , , , 
21-reverse_folding-0-0, timeout, , , , , , 
22-reverse_folding-0-0, timeout, , , , , , 
23-reverse_folding-0-0, timeout, , , , , , 
24-reverse_folding-0-0, timeout, , , , , , 
25-reverse_folding-0-0, timeout, , , , , , 
26-reverse_folding-0-0, timeout, , , , , , 
27-reverse_folding-0-0, timeout, , , , , , 
28-reverse_folding-0-0, timeout, , , , , , 
29-reverse_folding-0-0, timeout, , , , , , 
30-reverse_folding-0-0, timeout, , , , , , 
31-reverse_folding-0-0, timeout, , , , , , 
32-reverse_folding-0-0, timeout, , , , , , 
33-reverse_folding-0-0, timeout, , , , , , 
34-reverse_folding-0-0, timeout, , , , , , 
35-reverse_folding-0-0, timeout, , , , , , 
36-reverse_folding-0-0, timeout, , , , , , 
37-reverse_folding-0-0, timeout, , , , , , 
38-reverse_folding-0-0, timeout, , , , , , 
39-reverse_folding-0-0, timeout, , , , , , 
40-reverse_folding-0-0, timeout, , , , , , 
41-reverse_folding-0-0, timeout, , , , , , 
42-reverse_folding-0-0, timeout, , , , , , 
43-reverse_folding-0-0, timeout, , , , , , 
44-reverse_folding-0-0, timeout, , , , , , 
45-reverse_folding-0-0, timeout, , , , , , 
46-reverse_folding-0-0, timeout, , , , , , 
47-reverse_folding-0-0, timeout, , , , , , 
48-reverse_folding-0-0, timeout, , , , , , 
49-reverse_folding-0-0, timeout, , , , , , 
50-reverse_folding-0-0, timeout, , , , , , 
EulerInequality_IsoTriangle-CircumRadius_InRadius, sat, 1, 8, , , , 7205
IsoRightTriangle-Bottema11_20b, sat, 1, 6, , , , 7
IsoRightTriangle-Bottema1_12a, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema1_12b, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema1_14a, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema1_14b, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema1_15a, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema1_15b, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema1_17a, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema1_17b, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema1_19a, sat, 1, 4, , , , 2
IsoRightTriangle-Bottema1_19b, sat, 1, 4, , , , 2
IsoRightTriangle-Bottema1_1a, sat, 1, 4, , , , 2
IsoRightTriangle-Bottema1_1b, sat, 1, 4, , , , 2
IsoRightTriangle-Bottema1_23a, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema1_23b, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema1_2a, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema1_2b, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema1_3a, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema1_3b, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema1_4a, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema1_4b, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema1_5a, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema1_5b, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema1_6a, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema1_6b, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema1_7a, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema1_7b, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema1_8a, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema1_8b, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema1_9a, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema1_9b, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema4_2b, sat, 1, 5, , , , 2
IsoRightTriangle-Bottema5_3b, sat, 1, 7, , , , 13
IsoRightTriangle-Bottema6_1b, sat, 1, 6, , , , 2
IsoRightTriangle-Bottema8_1b, sat, 1, 7, , , , 2
IsoTriangle-Area_Perimeter_a, sat, 1, 5, , , , 11
IsoTriangle-Bottema11_20a, sat, 1, 6, , , , 12
